Origin,Destination,Date,Sender's Name,Sender City,Sender State,Total Pieces,Actual Wt,Volumetric Wt,Chargeable Wt,Paperwork,Sender Date,Recipient Name,Recipient City,Receiver State,Value Added Services,Consignment No,Expiry Date,Booking Code,Receiver Name,Receive Date,Tariff,VAS Charges,Total Amount,Mode,Risk Surcharge,Mode of Payment,Nature of Consignment
Vizag,Mumbai,11-06-2025,Turvi Mangat,Vizag,Andhra Pradesh,1,8.18,8.69,8.69,Yes,11-06-2025,Bawa Group,Mumbai,Maharashtra,COD,DTDC22981921,11-07-2025,BR838,Bawa Group,15-06-2025,404.36,108.27,512.63,Surface,Carrier,Cash,Dox
Chennai,Coimbatore,07-06-2025,Tak-Sachar,Chennai,Tamil Nadu,5,8.28,8.69,8.69,Yes,07-06-2025,Bishakha Roy,Coimbatore,Tamil Nadu,COD,DTDC82972168,07-07-2025,BR551,Bishakha Roy,12-06-2025,425.74,99.97,525.71,Surface,Carrier,Cash,Dox
Varanasi,Agra,08-06-2025,"Gole, Ganguly and Anne",Varanasi,Uttar Pradesh,5,2.96,4.17,4.17,No,08-06-2025,Pushti Kaur,Agra,Uttar Pradesh,COD,DTDC34010417,08-07-2025,BR277,Pushti Kaur,12-06-2025,197.98,70.69,268.67,Surface,Carrier,Card,Non-Dox
Bangalore,Surat,07-06-2025,Damyanti Dixit,Bangalore,Karnataka,1,5.56,6.29,6.29,Yes,07-06-2025,Krishnan-Borra,Surat,Gujarat,None,DTDC98695221,07-07-2025,BR237,Krishnan-Borra,12-06-2025,278.92,0,278.92,Surface,Carrier,Card,Dox
Vizag,Coimbatore,08-06-2025,Tamanna Boase,Vizag,Andhra Pradesh,1,4,6.78,6.78,No,08-06-2025,Priya Lala,Coimbatore,Tamil Nadu,COD,DTDC44953935,08-07-2025,BR485,Priya Lala,12-06-2025,330.62,29.27,359.89,Surface,Carrier,Card,Dox
Chandigarh,Vizag,18-06-2025,"Prasad, Chand and Dar",Chandigarh,Chandigarh,4,8.7,11.35,11.35,No,18-06-2025,Vasa-Walla,Vizag,Andhra Pradesh,None,DTDC83587357,18-07-2025,BR212,Vasa-Walla,22-06-2025,537.97,0,537.97,Surface,Carrier,Card,Non-Dox
Aurangabad,Kolkata,15-06-2025,Nisha Deol,Aurangabad,Maharashtra,5,10.52,10.82,10.82,Yes,15-06-2025,Eesha Narayan,Kolkata,West Bengal,COD,DTDC02299985,15-07-2025,BR797,Eesha Narayan,16-06-2025,494.95,50.17,545.12,Surface,Carrier,Card,Dox
Bangalore,Surat,17-06-2025,Krishnamurthy and Sons,Bangalore,Karnataka,5,7.43,7.79,7.79,No,17-06-2025,Narasimhan LLC,Surat,Gujarat,None,DTDC98418889,17-07-2025,BR720,Narasimhan LLC,18-06-2025,318.85,0,318.85,Surface,Carrier,Card,Dox
Vizag,Meerut,01-07-2025,Narasimhan Group,Vizag,Andhra Pradesh,1,2.71,2.99,2.99,No,01-07-2025,Noah Thakur,Meerut,Uttar Pradesh,COD,DTDC90689678,31-07-2025,BR638,Noah Thakur,02-07-2025,142.14,110.88,253.02,Surface,Carrier,Card,Non-Dox
Chandigarh,Hyderabad,14-06-2025,"Sibal, Subramaniam and Patla",Chandigarh,Chandigarh,1,8.47,10.16,10.16,No,14-06-2025,Pahal Madan,Hyderabad,Telangana,COD,DTDC57106323,14-07-2025,BR867,Pahal Madan,18-06-2025,431.13,92.97,524.1,Surface,Carrier,Card,Dox
Thiruvananthapuram,Ludhiana,20-06-2025,Kalita-More,Thiruvananthapuram,Kerala,2,1.25,1.89,1.89,No,20-06-2025,De-Memon,Ludhiana,Punjab,COD,DTDC37812508,20-07-2025,BR622,De-Memon,22-06-2025,86.99,134.02,221.01,Surface,Carrier,Card,Non-Dox
Hyderabad,Thiruvananthapuram,28-06-2025,"Oza, Sura and Lalla",Hyderabad,Telangana,3,9.6,12.45,12.45,No,28-06-2025,Chand-Thaman,Thiruvananthapuram,Kerala,COD,DTDC04985430,28-07-2025,BR331,Chand-Thaman,02-07-2025,560.07,22.62,582.69,Surface,Carrier,Cash,Non-Dox
Ludhiana,Nashik,27-06-2025,"Kibe, Rau and Hora",Ludhiana,Punjab,5,10.32,10.94,10.94,Yes,27-06-2025,Comar-Kaul,Nashik,Maharashtra,COD,DTDC82102446,27-07-2025,BR006,Comar-Kaul,29-06-2025,516.03,103.91,619.94,Surface,Carrier,Cash,Non-Dox
Patna,Bhopal,21-06-2025,Shivansh Raju,Patna,Bihar,2,4.64,6.65,6.65,Yes,21-06-2025,Mani-Comar,Bhopal,Madhya Pradesh,COD,DTDC96405633,21-07-2025,BR984,Mani-Comar,25-06-2025,313.15,112.23,425.38,Surface,Carrier,Cash,Dox
Lucknow,Ranchi,10-06-2025,Nayar-Ghose,Lucknow,Uttar Pradesh,3,1.84,4.12,4.12,No,10-06-2025,Karan Banik,Ranchi,Jharkhand,None,DTDC35642590,10-07-2025,BR133,Karan Banik,11-06-2025,365.96,0,365.96,Express,Carrier,Cash,Non-Dox
Pune,Bangalore,21-06-2025,Dyal LLC,Pune,Maharashtra,2,7.46,8.3,8.3,Yes,21-06-2025,Farhan Arya,Bangalore,Karnataka,COD,DTDC62499493,21-07-2025,BR645,Farhan Arya,23-06-2025,368.36,135.48,503.84,Surface,Carrier,Cash,Non-Dox
Kochi,Delhi,03-07-2025,Kadakia Group,Kochi,Kerala,3,5.69,6.01,6.01,No,03-07-2025,Padmanabhan PLC,Delhi,Delhi,Insurance,DTDC08167916,02-08-2025,BR568,Padmanabhan PLC,07-07-2025,263.58,69.14,332.72,Surface,Carrier,Cash,Non-Dox
Patna,Raipur,29-06-2025,Lakshit Dora,Patna,Bihar,5,7.57,10.55,10.55,Yes,29-06-2025,Inaya Savant,Raipur,Chhattisgarh,None,DTDC69022138,29-07-2025,BR383,Inaya Savant,02-07-2025,476.27,0,476.27,Surface,Carrier,Card,Non-Dox
Mumbai,Bangalore,20-06-2025,Kuruvilla-Barad,Mumbai,Maharashtra,5,7.26,8.11,8.11,No,20-06-2025,Shravya Narang,Bangalore,Karnataka,COD,DTDC60370617,20-07-2025,BR030,Shravya Narang,22-06-2025,341.89,99.36,441.25,Surface,Carrier,Card,Dox
Amritsar,Surat,26-06-2025,"Karnik, Natarajan and Minhas",Amritsar,Punjab,1,4.77,5.01,5.01,Yes,26-06-2025,Minhas PLC,Surat,Gujarat,Express,DTDC02334403,26-07-2025,BR946,Minhas PLC,30-06-2025,326.76,102.88,429.64,Air Cargo,Carrier,Cash,Dox
Ahmedabad,Meerut,18-06-2025,"Ramanathan, Sangha and Rau",Ahmedabad,Gujarat,2,2.6,2.87,2.87,Yes,18-06-2025,Sarkar Ltd,Meerut,Uttar Pradesh,Express,DTDC12359274,18-07-2025,BR954,Sarkar Ltd,23-06-2025,265.1,84.6,349.7,Express,Carrier,Cash,Non-Dox
Ludhiana,Ranchi,28-06-2025,"Shroff, Dasgupta and Sagar",Ludhiana,Punjab,4,5.58,7.23,7.23,Yes,28-06-2025,Omaja Mallick,Ranchi,Jharkhand,None,DTDC01761102,28-07-2025,BR464,Omaja Mallick,02-07-2025,438.33,0,438.33,Air Cargo,Carrier,Card,Dox
Mumbai,Jaipur,03-07-2025,Girindra Aurora,Mumbai,Maharashtra,2,4.78,4.89,4.89,No,03-07-2025,Nandini Kant,Jaipur,Rajasthan,COD,DTDC64836819,02-08-2025,BR111,Nandini Kant,04-07-2025,203.43,141.82,345.25,Surface,Carrier,Card,Dox
Raipur,Agra,24-06-2025,Shere-Kurian,Raipur,Chhattisgarh,4,11.05,13.4,13.4,Yes,24-06-2025,Inaya Krishnan,Agra,Uttar Pradesh,Insurance,DTDC01334037,24-07-2025,BR367,Inaya Krishnan,27-06-2025,789.84,104.15,893.99,Air Cargo,Carrier,Cash,Non-Dox
Mumbai,Shimla,25-06-2025,Watika Bhakta,Mumbai,Maharashtra,4,10.08,12.13,12.13,No,25-06-2025,Butala-Savant,Shimla,Himachal Pradesh,COD,DTDC53873398,25-07-2025,BR223,Butala-Savant,30-06-2025,992.65,28.32,1020.97,Express,Carrier,Cash,Dox
Surat,Thiruvananthapuram,04-07-2025,Sandal Inc,Surat,Gujarat,1,2.76,4.58,4.58,No,04-07-2025,Vinaya Chand,Thiruvananthapuram,Kerala,COD,DTDC19497508,03-08-2025,BR989,Vinaya Chand,07-07-2025,212.27,141.45,353.72,Surface,Carrier,Card,Non-Dox
Surat,Guwahati,15-06-2025,Vamakshi Chowdhury,Surat,Gujarat,3,10.5,12.26,12.26,Yes,15-06-2025,Jani and Sons,Guwahati,Assam,COD,DTDC95512701,15-07-2025,BR807,Jani and Sons,17-06-2025,538.52,145.25,683.77,Surface,Carrier,Cash,Dox
Surat,Kolkata,06-06-2025,"Bhakta, Seth and Peri",Surat,Gujarat,4,6.11,7.9,7.9,Yes,06-06-2025,"Wali, Deol and Patil",Kolkata,West Bengal,None,DTDC86397429,06-07-2025,BR366,"Wali, Deol and Patil",11-06-2025,383.77,0,383.77,Surface,Carrier,Cash,Non-Dox
Pune,Jamshedpur,13-06-2025,Kiaan Prashad,Pune,Maharashtra,3,1.71,3.54,3.54,No,13-06-2025,"Tella, Sen and Mital",Jamshedpur,Jharkhand,COD,DTDC56169433,13-07-2025,BR457,"Tella, Sen and Mital",17-06-2025,165.72,59.9,225.62,Surface,Carrier,Cash,Non-Dox
Chandigarh,Ludhiana,08-06-2025,Khare-Banerjee,Chandigarh,Chandigarh,2,8,10.83,10.83,Yes,08-06-2025,Chakraborty Inc,Ludhiana,Punjab,COD,DTDC39513361,08-07-2025,BR113,Chakraborty Inc,10-06-2025,493.39,32.84,526.23,Surface,Carrier,Cash,Non-Dox
Amritsar,Ranchi,18-06-2025,Dugar-Dua,Amritsar,Punjab,2,1.46,4.42,4.42,No,18-06-2025,Varghese-Contractor,Ranchi,Jharkhand,COD,DTDC93339232,18-07-2025,BR226,Varghese-Contractor,20-06-2025,285.06,103.6,388.66,Air Cargo,Carrier,Cash,Dox
Thiruvananthapuram,Vijayawada,27-06-2025,Osha Mane,Thiruvananthapuram,Kerala,1,3.1,4.3,4.3,No,27-06-2025,Dua-Saran,Vijayawada,Andhra Pradesh,COD,DTDC37624617,27-07-2025,BR054,Dua-Saran,28-06-2025,175.39,140.08,315.47,Surface,Carrier,Card,Non-Dox
Ludhiana,Patna,27-06-2025,Tandon and Sons,Ludhiana,Punjab,2,11.32,14.05,14.05,No,27-06-2025,Chandresh Gala,Patna,Bihar,COD,DTDC43356500,27-07-2025,BR749,Chandresh Gala,02-07-2025,1249.5,61.9,1311.4,Express,Carrier,Cash,Dox
Amritsar,Thiruvananthapuram,16-06-2025,Prashad-Sunder,Amritsar,Punjab,4,3.1,3.34,3.34,No,16-06-2025,"Bajwa, Manda and Prabhu",Thiruvananthapuram,Kerala,None,DTDC84103044,16-07-2025,BR290,"Bajwa, Manda and Prabhu",20-06-2025,257.64,0,257.64,Express,Carrier,Cash,Non-Dox
Pune,Nagpur,17-06-2025,Sami Group,Pune,Maharashtra,5,7.92,9.59,9.59,No,17-06-2025,Kohli-Chaudhari,Nagpur,Maharashtra,COD,DTDC58951811,17-07-2025,BR134,Kohli-Chaudhari,22-06-2025,442.17,33.54,475.71,Surface,Carrier,Cash,Dox
Chandigarh,Hyderabad,11-06-2025,Shivani Parekh,Chandigarh,Chandigarh,5,3.68,6.38,6.38,No,11-06-2025,Abhiram Kashyap,Hyderabad,Telangana,Express,DTDC08947993,11-07-2025,BR719,Abhiram Kashyap,15-06-2025,451.35,23.59,474.94,Air Cargo,Carrier,Cash,Non-Dox
Nagpur,Aurangabad,12-06-2025,"Kale, Patil and Dhillon",Nagpur,Maharashtra,3,8.24,11.1,11.1,Yes,12-06-2025,Nikita Shroff,Aurangabad,Maharashtra,COD,DTDC53071793,12-07-2025,BR285,Nikita Shroff,17-06-2025,740.43,28.99,769.42,Air Cargo,Carrier,Cash,Non-Dox
Ludhiana,Vijayawada,25-06-2025,Mutti PLC,Ludhiana,Punjab,2,3.82,4.7,4.7,Yes,25-06-2025,Barkha Chakrabarti,Vijayawada,Andhra Pradesh,COD,DTDC51940944,25-07-2025,BR520,Barkha Chakrabarti,30-06-2025,208.87,75.27,284.14,Surface,Carrier,Cash,Dox
Lucknow,Aurangabad,16-06-2025,Isaiah Sengupta,Lucknow,Uttar Pradesh,2,5.77,8.2,8.2,No,16-06-2025,Chatresh Saraf,Aurangabad,Maharashtra,None,DTDC17406249,16-07-2025,BR531,Chatresh Saraf,20-06-2025,385.22,0,385.22,Surface,Carrier,Card,Dox
Patna,Coimbatore,11-06-2025,"Hayre, Bhatti and Andra",Patna,Bihar,3,7.42,9.74,9.74,No,11-06-2025,Tejas Chada,Coimbatore,Tamil Nadu,COD,DTDC50024212,11-07-2025,BR386,Tejas Chada,14-06-2025,472.2,20.22,492.42,Surface,Carrier,Cash,Dox
Kochi,Jamshedpur,26-06-2025,Rau PLC,Kochi,Kerala,1,2.77,3.75,3.75,No,26-06-2025,Manan Ganesh,Jamshedpur,Jharkhand,COD,DTDC29831916,26-07-2025,BR715,Manan Ganesh,27-06-2025,317.95,29.78,347.73,Express,Carrier,Cash,Dox
Bhubaneswar,Vijayawada,11-06-2025,Cherian Inc,Bhubaneswar,Odisha,5,11.14,13.59,13.59,Yes,11-06-2025,Hemal Bhatti,Vijayawada,Andhra Pradesh,COD,DTDC96165497,11-07-2025,BR269,Hemal Bhatti,12-06-2025,917.63,98.99,1016.62,Air Cargo,Carrier,Card,Non-Dox
Agra,Jaipur,14-06-2025,Bhavini Anand,Agra,Uttar Pradesh,4,8.51,10.74,10.74,Yes,14-06-2025,Sanaya Raja,Jaipur,Rajasthan,COD,DTDC43373743,14-07-2025,BR558,Sanaya Raja,16-06-2025,452.92,52.24,505.16,Surface,Carrier,Card,Non-Dox
Vijayawada,Dehradun,13-06-2025,Gauri Bassi,Vijayawada,Andhra Pradesh,1,9.79,11.03,11.03,No,13-06-2025,Jack Roy,Dehradun,Uttarakhand,Insurance,DTDC46426296,13-07-2025,BR335,Jack Roy,16-06-2025,902.15,52.05,954.2,Express,Carrier,Wallet,Non-Dox
Bangalore,Ranchi,08-06-2025,Vasudha Batra,Bangalore,Karnataka,1,7.59,10.11,10.11,No,08-06-2025,Falan Tandon,Ranchi,Jharkhand,Insurance,DTDC03645019,08-07-2025,BR979,Falan Tandon,10-06-2025,608.3,68.83,677.13,Air Cargo,Carrier,Cash,Non-Dox
Bhopal,Hyderabad,30-06-2025,Ishwar Dube,Bhopal,Madhya Pradesh,4,8.01,9.35,9.35,No,30-06-2025,Wakeeta Oak,Hyderabad,Telangana,COD,DTDC09898955,30-07-2025,BR475,Wakeeta Oak,04-07-2025,411,77.74,488.74,Surface,Carrier,Cash,Non-Dox
Varanasi,Aurangabad,24-06-2025,Bakhshi Oommen,Varanasi,Uttar Pradesh,1,1.84,2.86,2.86,No,24-06-2025,Sachdev PLC,Aurangabad,Maharashtra,None,DTDC00849483,24-07-2025,BR062,Sachdev PLC,25-06-2025,122.13,0,122.13,Surface,Carrier,Card,Dox
Shimla,Lucknow,23-06-2025,Gayathri Kar,Shimla,Himachal Pradesh,1,1.76,3.73,3.73,Yes,23-06-2025,Banjeet Memon,Lucknow,Uttar Pradesh,COD,DTDC03847648,23-07-2025,BR984,Banjeet Memon,24-06-2025,161.28,99.59,260.87,Surface,Carrier,Cash,Dox
Varanasi,Jamshedpur,13-06-2025,Parmar-Choudhry,Varanasi,Uttar Pradesh,1,10.61,12.53,12.53,Yes,13-06-2025,"Bala, Chaudry and Merchant",Jamshedpur,Jharkhand,COD,DTDC04836824,13-07-2025,BR217,"Bala, Chaudry and Merchant",14-06-2025,513.84,100.06,613.9,Surface,Carrier,Card,Non-Dox
Ahmedabad,Aurangabad,20-06-2025,Ratta-Bora,Ahmedabad,Gujarat,5,7.18,9.11,9.11,Yes,20-06-2025,Sarkar Ltd,Aurangabad,Maharashtra,Express,DTDC68402508,20-07-2025,BR211,Sarkar Ltd,25-06-2025,427.43,90.71,518.14,Surface,Carrier,Cash,Dox
Coimbatore,Shimla,25-06-2025,"Yogi, Doctor and Lad",Coimbatore,Tamil Nadu,1,10.9,11.57,11.57,Yes,25-06-2025,"Sabharwal, Subramanian and Chopra",Shimla,Himachal Pradesh,Express,DTDC31584980,25-07-2025,BR948,"Sabharwal, Subramanian and Chopra",27-06-2025,523.96,140.52,664.48,Surface,Carrier,Cash,Non-Dox
Jamshedpur,Amritsar,09-06-2025,Triya Devi,Jamshedpur,Jharkhand,3,0.82,3.81,3.81,Yes,09-06-2025,Tanay Shankar,Amritsar,Punjab,Insurance,DTDC62495969,09-07-2025,BR986,Tanay Shankar,10-06-2025,166.15,109.15,275.3,Surface,Carrier,Cash,Non-Dox
Meerut,Guwahati,14-06-2025,Suhani Bahl,Meerut,Uttar Pradesh,5,4.87,6.16,6.16,Yes,14-06-2025,Ira Sahota,Guwahati,Assam,COD,DTDC70224959,14-07-2025,BR669,Ira Sahota,17-06-2025,279.35,145.55,424.9,Surface,Carrier,Cash,Dox
Agra,Patna,17-06-2025,Maya Issac,Agra,Uttar Pradesh,2,6.12,8.44,8.44,Yes,17-06-2025,Saanvi Chacko,Patna,Bihar,COD,DTDC19873989,17-07-2025,BR556,Saanvi Chacko,21-06-2025,374.4,53.66,428.06,Surface,Carrier,Cash,Non-Dox
Jaipur,Meerut,14-06-2025,Jagrati Gokhale,Jaipur,Rajasthan,2,11.15,14.05,14.05,Yes,14-06-2025,"Pal, Agate and Thakkar",Meerut,Uttar Pradesh,Insurance,DTDC86443071,14-07-2025,BR071,"Pal, Agate and Thakkar",17-06-2025,579.5,50.82,630.32,Surface,Carrier,Card,Dox
Nagpur,Guwahati,19-06-2025,Dani LLC,Nagpur,Maharashtra,4,10.73,11.49,11.49,No,19-06-2025,"Khurana, Naidu and Brar",Guwahati,Assam,COD,DTDC83754074,19-07-2025,BR458,"Khurana, Naidu and Brar",20-06-2025,888.01,33.13,921.14,Express,Carrier,Card,Dox
Kochi,Indore,22-06-2025,Qushi Koshy,Kochi,Kerala,4,7.2,9.44,9.44,Yes,22-06-2025,Bail Ltd,Indore,Madhya Pradesh,COD,DTDC87421428,22-07-2025,BR970,Bail Ltd,24-06-2025,388.52,124.04,512.56,Surface,Carrier,Cash,Dox
Aurangabad,Nashik,21-06-2025,Din and Sons,Aurangabad,Maharashtra,4,7.23,7.91,7.91,No,21-06-2025,"Barad, Maharaj and Sama",Nashik,Maharashtra,COD,DTDC96155420,21-07-2025,BR104,"Barad, Maharaj and Sama",22-06-2025,346.2,73.49,419.69,Surface,Carrier,Cash,Non-Dox
Guwahati,Pune,07-06-2025,"Barad, Vyas and Wagle",Guwahati,Assam,2,0.61,2.39,2.39,Yes,07-06-2025,Yutika Divan,Pune,Maharashtra,None,DTDC27595307,07-07-2025,BR390,Yutika Divan,09-06-2025,105.21,0,105.21,Surface,Carrier,Card,Non-Dox
Mumbai,Aurangabad,04-07-2025,Bakshi Group,Mumbai,Maharashtra,1,11.94,12.08,12.08,No,04-07-2025,"Mannan, Singh and Lanka",Aurangabad,Maharashtra,COD,DTDC10225821,03-08-2025,BR289,"Mannan, Singh and Lanka",06-07-2025,853.73,41.05,894.78,Air Cargo,Carrier,Card,Non-Dox
Bhopal,Ranchi,25-06-2025,Kapoor-Nath,Bhopal,Madhya Pradesh,1,7.77,10.68,10.68,No,25-06-2025,"Sehgal, Bora and Hegde",Ranchi,Jharkhand,COD,DTDC08177655,25-07-2025,BR828,"Sehgal, Bora and Hegde",30-06-2025,980.24,131.69,1111.93,Express,Carrier,Card,Dox
Nagpur,Ranchi,27-06-2025,Anamika Wadhwa,Nagpur,Maharashtra,5,4.83,5.19,5.19,Yes,27-06-2025,"Sant, Bajwa and Varghese",Ranchi,Jharkhand,COD,DTDC27527170,27-07-2025,BR654,"Sant, Bajwa and Varghese",28-06-2025,421.88,96.16,518.04,Express,Carrier,Card,Dox
Bhubaneswar,Shimla,12-06-2025,"Wable, Bhandari and Goel",Bhubaneswar,Odisha,5,2.85,4.98,4.98,No,12-06-2025,Agrawal-Lalla,Shimla,Himachal Pradesh,Express,DTDC83628881,12-07-2025,BR648,Agrawal-Lalla,14-06-2025,228.24,122.26,350.5,Surface,Carrier,Card,Dox
Shimla,Aurangabad,27-06-2025,"Atwal, Yogi and Batta",Shimla,Himachal Pradesh,4,4.27,6.83,6.83,Yes,27-06-2025,Maanav Sankar,Aurangabad,Maharashtra,COD,DTDC35318572,27-07-2025,BR259,Maanav Sankar,29-06-2025,311.51,42.48,353.99,Surface,Carrier,Card,Dox
Meerut,Nashik,22-06-2025,Dubey Inc,Meerut,Uttar Pradesh,1,8,10.33,10.33,No,22-06-2025,Gaurika Banik,Nashik,Maharashtra,COD,DTDC48272496,22-07-2025,BR360,Gaurika Banik,23-06-2025,479.52,94.13,573.65,Surface,Carrier,Card,Non-Dox
Kolkata,Mumbai,04-07-2025,Warrior Group,Kolkata,West Bengal,5,4.02,6.68,6.68,No,04-07-2025,Pavani Vasa,Mumbai,Maharashtra,None,DTDC68745699,03-08-2025,BR323,Pavani Vasa,08-07-2025,312.36,0,312.36,Surface,Carrier,Card,Dox
Hyderabad,Varanasi,13-06-2025,Nilima Deo,Hyderabad,Telangana,1,6.38,7.81,7.81,No,13-06-2025,Chakrika Randhawa,Varanasi,Uttar Pradesh,COD,DTDC44045883,13-07-2025,BR973,Chakrika Randhawa,17-06-2025,465.14,103.41,568.55,Air Cargo,Carrier,Cash,Dox
Varanasi,Amritsar,28-06-2025,"Sandal, Parikh and Balan",Varanasi,Uttar Pradesh,5,10.66,11.41,11.41,Yes,28-06-2025,"Kulkarni, Rau and Mani",Amritsar,Punjab,COD,DTDC60286036,28-07-2025,BR838,"Kulkarni, Rau and Mani",03-07-2025,690.84,49.44,740.28,Air Cargo,Carrier,Card,Dox
Raipur,Ludhiana,25-06-2025,"Puri, Zacharia and Kale",Raipur,Chhattisgarh,5,5.96,8.45,8.45,No,25-06-2025,Chahal and Sons,Ludhiana,Punjab,Insurance,DTDC05754371,25-07-2025,BR836,Chahal and Sons,27-06-2025,410.92,28.24,439.16,Surface,Carrier,Cash,Dox
Surat,Bangalore,07-06-2025,Qasim Nori,Surat,Gujarat,5,3.97,5.67,5.67,Yes,07-06-2025,Unni Devi,Bangalore,Karnataka,COD,DTDC25436225,07-07-2025,BR134,Unni Devi,11-06-2025,275.07,31.57,306.64,Surface,Carrier,Cash,Dox
Bangalore,Dehradun,06-06-2025,Kar Group,Bangalore,Karnataka,2,4.08,5.6,5.6,No,06-06-2025,"Badami, Batta and Puri",Dehradun,Uttarakhand,Express,DTDC64027816,06-07-2025,BR864,"Badami, Batta and Puri",08-06-2025,266.58,39.84,306.42,Surface,Carrier,Cash,Non-Dox
Ranchi,Agra,04-07-2025,Lekha Pillay,Ranchi,Jharkhand,3,8.43,10.58,10.58,No,04-07-2025,"Oommen, Narain and Merchant",Agra,Uttar Pradesh,COD,DTDC44514247,03-08-2025,BR664,"Oommen, Narain and Merchant",05-07-2025,954.58,129,1083.58,Express,Carrier,Card,Dox
Thiruvananthapuram,Jamshedpur,15-06-2025,Sathe-Thaman,Thiruvananthapuram,Kerala,5,9.18,10.29,10.29,No,15-06-2025,"Mangat, Patla and Swaminathan",Jamshedpur,Jharkhand,Express,DTDC55063892,15-07-2025,BR986,"Mangat, Patla and Swaminathan",16-06-2025,432.3,86.18,518.48,Surface,Carrier,Cash,Non-Dox
Kolkata,Indore,22-06-2025,Hredhaan Bansal,Kolkata,West Bengal,4,3.11,4.94,4.94,No,22-06-2025,Mitesh Purohit,Indore,Madhya Pradesh,Insurance,DTDC66791772,22-07-2025,BR499,Mitesh Purohit,23-06-2025,243.12,110.89,354.01,Surface,Carrier,Cash,Dox
Jaipur,Nagpur,20-06-2025,Khalsa-Bandi,Jaipur,Rajasthan,3,1.13,2.05,2.05,Yes,20-06-2025,Rana Ltd,Nagpur,Maharashtra,COD,DTDC09301245,20-07-2025,BR818,Rana Ltd,22-06-2025,91.43,135.98,227.41,Surface,Carrier,Cash,Non-Dox
Delhi,Agra,02-07-2025,Pradhan PLC,Delhi,Delhi,1,4.96,7.72,7.72,No,02-07-2025,Kakar-Nagar,Agra,Uttar Pradesh,Express,DTDC95114104,01-08-2025,BR540,Kakar-Nagar,07-07-2025,371.97,87.18,459.15,Surface,Carrier,Cash,Dox
Vijayawada,Srinagar,08-06-2025,Xiti Mallick,Vijayawada,Andhra Pradesh,3,1.5,4.12,4.12,Yes,08-06-2025,Yatin Pradhan,Srinagar,Jammu & Kashmir,None,DTDC98142309,08-07-2025,BR343,Yatin Pradhan,10-06-2025,197.2,0,197.2,Surface,Carrier,Wallet,Dox
Ranchi,Dehradun,18-06-2025,Agarwal-Oza,Ranchi,Jharkhand,2,1.98,4.27,4.27,Yes,18-06-2025,Sathvik Bora,Dehradun,Uttarakhand,None,DTDC58850370,18-07-2025,BR623,Sathvik Bora,20-06-2025,291.91,0,291.91,Air Cargo,Owner,Card,Dox
Kolkata,Vijayawada,09-06-2025,Pranav Dasgupta,Kolkata,West Bengal,5,8.3,8.43,8.43,Yes,09-06-2025,Acharya Group,Vijayawada,Andhra Pradesh,COD,DTDC55845130,09-07-2025,BR848,Acharya Group,13-06-2025,530.45,117.32,647.77,Air Cargo,Carrier,Wallet,Dox
Bangalore,Patna,17-06-2025,"Grewal, Sood and Deol",Bangalore,Karnataka,2,8.01,8.81,8.81,No,17-06-2025,Sai Randhawa,Patna,Bihar,COD,DTDC31982288,17-07-2025,BR343,Sai Randhawa,19-06-2025,609.11,136.34,745.45,Air Cargo,Carrier,Card,Non-Dox
Meerut,Bhopal,18-06-2025,"Roy, Toor and Anne",Meerut,Uttar Pradesh,5,0.69,2.62,2.62,No,18-06-2025,Mani PLC,Bhopal,Madhya Pradesh,COD,DTDC74992386,18-07-2025,BR813,Mani PLC,21-06-2025,120.86,103.54,224.4,Surface,Carrier,Cash,Dox
Chennai,Meerut,12-06-2025,Mammen-Khosla,Chennai,Tamil Nadu,4,3.4,3.91,3.91,Yes,12-06-2025,Zinal Johal,Meerut,Uttar Pradesh,COD,DTDC23262377,12-07-2025,BR621,Zinal Johal,16-06-2025,186.14,118.94,305.08,Surface,Carrier,Cash,Non-Dox
Srinagar,Lucknow,21-06-2025,Mittal-Ganguly,Srinagar,Jammu & Kashmir,2,5.13,6.32,6.32,Yes,21-06-2025,Aarnav Ganguly,Lucknow,Uttar Pradesh,Express,DTDC51522077,21-07-2025,BR952,Aarnav Ganguly,23-06-2025,395.7,23.58,419.28,Air Cargo,Carrier,Card,Non-Dox
Vijayawada,Ludhiana,23-06-2025,"Balakrishnan, Luthra and Gill",Vijayawada,Andhra Pradesh,3,9.53,9.7,9.7,No,23-06-2025,Mander-Warrior,Ludhiana,Punjab,COD,DTDC38818110,23-07-2025,BR865,Mander-Warrior,26-06-2025,441.65,120.8,562.45,Surface,Carrier,Card,Non-Dox
Bhubaneswar,Jaipur,28-06-2025,Jasmit Yadav,Bhubaneswar,Odisha,1,3.95,6.01,6.01,No,28-06-2025,Triya Vasa,Jaipur,Rajasthan,COD,DTDC22211256,28-07-2025,BR928,Triya Vasa,30-06-2025,265.5,67.92,333.42,Surface,Carrier,Card,Non-Dox
Chennai,Jamshedpur,04-07-2025,Sibal Ltd,Chennai,Tamil Nadu,1,6.06,6.85,6.85,Yes,04-07-2025,Dasgupta Group,Jamshedpur,Jharkhand,COD,DTDC13707697,03-08-2025,BR715,Dasgupta Group,05-07-2025,316.92,33.2,350.12,Surface,Carrier,Card,Dox
